Pressure (MPa),Temperature (°C),Specific volume v (m³/kg),Internal energy u (kJ/kg),Enthalpy h (kJ/kg),Entropy s (kJ/kg·K)
P,T,v,u,h,s
8,800,0.06097,3636,4123.8,7.5173
8,900,0.06702,3832.1,4368.3,7.7351
8,1000,0.07301,4032.8,4616.9,7.9384
8,1100,0.07896,4238.6,4870.3,8.13
8,1200,0.08489,4449.5,5128.5,8.3115
8,1300,0.0908,4665,5391.5,8.4
9,303.4,0.02048,2557.8,2742.1,5.6772
9,325,0.02327,2646.6,2856,5.8712
9,350,0.0258,2724.4,2956.6,6.0361
9,400,0.02993,2848.4,3117.8,6.2854
9,450,0.0335,2955.2,3256.6,6.4844
9,500,0.03677,3055.2,3386.1,6.6576
9,550,0.03987,3152.2,3511,6.8142
9,600,0.04285,3248.1,3633.7,6.9589
9,650,0.04574,3343.6,3755.3,7.0943
9,700,0.04857,3439.3,3876.5,7.2221
9,800,0.05409,3632.5,4119.3,7.4596
9,900,0.0595,3829.2,4364.8,7.6783
9,1000,0.06485,4030.3,4614,7.8821
9,1100,0.07016,4236.3,4867.7,8.074
9,1200,0.07544,4447.2,5126.2,8.2556
9,1300,0.08072,4662.7,5389.2,8.4284
10,311.06,0.018026,2544.4,2724.7,5.6141
10,325,0.019861,2610.4,2809.1,5.7568
10,350,0.02242,2699.2,2923.4,5.9443
10,400,0.02641,2832.4,3096.5,6.212
10,450,0.02975,2943.4,3240.9,6.419
10,500,0.03279,3045.8,3373.7,6.5966
10,550,0.03564,3144.6,3500.9,6.7561
10,600,0.03837,3241.7,3625.3,6.9029
10,650,0.04101,3338.2,3748.2,7.0398
10,700,0.04358,3434.7,3870.5,7.1687
10,800,0.04859,3628.9,4114.8,7.4077
10,900,0.05349,3826.3,4361.2,7.6272
10,1000,0.05832,4027.8,4611,7.8315
10,1100,0.06312,4234,4865.1,8.0237
10,1200,0.06789,4444.9,5123.8,8.2055
10,1300,0.07265,4460.5,5387,8.3783
12.5,327.89,0.013495,2505.1,2673.8,5.4624
12.5,325,,,,
12.5,350,0.016126,2624.6,2826.2,5.7118
12.5,400,0.02,2789.3,3039.3,6.0417
12.5,450,0.02299,2912.5,3199.8,6.2719
12.5,500,0.0256,3021.7,3341.8,6.4618
12.5,550,0.02801,3125,3475.2,6.629
12.5,600,0.03029,3225.4,3604,6.781
12.5,650,0.03248,3324.4,3730.4,6.9218
12.5,700,0.0346,3422.9,3855.3,7.0536
12.5,800,0.03869,3620,4103.6,7.2965
12.5,900,0.04267,3819.1,4352.5,7.5182
12.5,1000,0.04658,4021.6,4603.8,7.7237
12.5,1100,0.05045,4228.2,4858.8,7.9165
12.5,1200,0.0543,4439.3,5118,8.0937
12.5,1300,0.05813,4654.8,5381.4,8.2717
15,342.24,0.010337,2455.5,2610.5,5.3098
15,350,0.01147,2520.4,2692.4,5.4421
15,400,0.015649,2740.7,2975.5,5.8811
15,450,0.018445,2879.5,3156.2,6.1404
15,500,0.0208,2996.6,3308.6,6.3443
15,550,0.02293,3104.7,3448.6,6.5199
15,600,0.02491,3208.6,3582.3,6.6776
15,650,0.0268,3310.3,3712.3,6.8224
15,700,0.02861,3410.9,3840.1,6.9572
15,800,0.0321,3610.9,4092.4,7.204
15,900,0.03546,3811.9,4343.8,7.4279
15,1000,0.03875,4015.4,4596.6,7.6348
15,1100,0.042,4222.6,4852.6,7.8283
15,1200,0.04523,4433.8,5112.3,8.0108
15,1300,0.04845,4649.1,5376,8.184
17.5,354.75,0.00792,2390.2,2528.8,5.1419
17.5,350,,,,
17.5,400,0.012447,2685,2902.9,5.7213
17.5,450,0.015174,2844.2,3109.7,6.0184
17.5,500,0.017358,2970.3,3274.1,6.2383
17.5,550,0.019288,3083.9,3421.4,6.423
17.5,600,0.02106,3191.5,3560.1,6.5866
17.5,650,0.02274,3296,3693.9,6.7357
17.5,700,0.02434,3398.7,3824.6,6.8736
17.5,800,0.02738,3601.8,4081.1,7.1244
17.5,900,0.03031,3804.7,4335.1,7.3507
17.5,1000,0.03316,4009.3,4589.5,7.5589
17.5,1100,0.03597,4216.9,4846.4,7.7531
17.5,1200,0.03876,4428.3,5106.6,7.936
17.5,1300,0.04154,4643.5,5370.5,8.1093
20,365.81,0.005834,2293,2409.7,4.9269
20,350,,,,
20,400,0.009942,2619.3,2818.1,5.554
20,450,0.012695,2806.2,3060.1,5.9017
20,500,0.014768,2942.9,3238.2,6.1401
20,550,0.016555,3062.4,3393.5,6.3348
20,600,0.018178,3174,3537.6,6.5048
20,650,0.019693,3281.4,3675.3,6.6582
20,700,0.02113,3386.4,3809,6.7993
20,800,0.02385,3592.7,4069.7,7.0544
20,900,0.02645,3797.5,4326.4,7.283
20,1000,0.02897,4003.1,4582.5,7.4925
20,1100,0.03145,4211.3,4840.2,7.6874
20,1200,0.03391,4422.8,5101,7.8707
20,1300,0.03636,4638,5365.1,8.0442
25,375,0.0019731,1798.7,1848,4.032
25,400,0.006004,2430.1,2580.2,5.1418
25,425,0.007881,2609.2,2806.3,5.4723
25,450,0.009162,2720.7,2949.7,5.6744
25,500,0.011123,2884.3,3162.4,5.9592
25,550,0.012724,3017.5,3335.6,6.1765
25,600,0.014137,3137.9,3491.4,6.3602
25,650,0.015433,3251.6,3637.4,6.5229
25,700,0.016646,3361.3,3777.5,6.6707
25,800,0.018912,3574.3,4047.1,6.9345
25,900,0.021045,3783,4309.1,7.168
25,1000,0.0231,3990.9,4568.5,7.3802
25,1100,0.02512,4200.2,4828.2,7.5765
25,1200,0.02711,4412,5089.9,7.7605
25,1300,0.0291,4626.9,5354.4,7.9342
30,375,0.0017892,1737.8,1791.5,3.9305
30,400,0.00279,2067.4,2151.1,4.4728
30,425,0.005303,2455.1,2614.2,5.1504
30,450,0.006735,2619.3,2821.4,5.4424
30,500,0.008678,2820.7,3081.1,5.7905
30,550,0.010168,2970.3,3275.4,6.0342
30,600,0.011446,3100.5,3443.9,6.2331
30,650,0.012596,3221,3598.9,6.4058
30,700,0.013661,3335.8,3745.6,6.5606
30,800,0.015623,3555.5,4024.2,6.8332
30,900,0.017448,3768.5,4291.9,7.0718
30,1000,0.019196,3978.8,4554.7,7.2867
30,1100,0.020903,4189.2,4816.3,7.4845
30,1200,0.022589,4401.3,5079,7.6692
30,1300,0.024266,4616,5344,7.8432
35,375,0.0017003,1702.9,1762.4,3.8722
35,400,0.0021,1914.1,1987.6,4.2126
35,425,0.003428,2253.4,2373.4,4.7747
35,450,0.004961,2498.7,2672.4,5.1962
35,500,0.006927,2751.9,2994.4,5.6282
35,550,0.008345,2921,3213,5.9026
35,600,0.009527,3062,3395.5,6.1179
35,650,0.010575,3189.8,3559.9,6.301
35,700,0.011533,3309.8,3713.5,6.4631
35,800,0.013278,3536.7,4001.5,6.745
35,900,0.014883,3754,4274.9,6.9386
35,1000,0.01641,3966.7,4541.1,7.2064
35,1100,0.017895,4178.3,4804.6,7.4037
35,1200,0.01936,4390.7,5068.3,7.591
35,1300,0.020815,4605.1,5333.6,7.7653
40,375,0.0016407,1677.1,1742.8,3.829
40,400,0.0019077,1854.6,1930.9,4.1135
40,425,0.002532,2096.9,2198.1,4.5029
40,450,0.003693,2365.1,2512.8,4.9459
40,500,0.005622,2678.4,2903.3,5.47
40,550,0.006984,2869.7,3149.1,5.7785
40,600,0.008094,3022.6,3346.4,6.0144
40,650,0.009063,3158,3520.6,6.2054
40,700,0.009941,3283.6,3681.2,6.375
40,800,0.011523,3517.8,3978.7,6.6662
40,900,0.012962,3739.4,4257.9,6.915
40,1000,0.014324,3954.6,4527.6,7.1356
40,1100,0.015642,4167.4,4793.1,7.3364
40,1200,0.01694,4380.1,5057.7,7.5224
40,1300,0.018229,4594.3,5323.5,7.6969
50,375,0.0015594,1638.6,1716.6,3.7639
50,400,0.0017309,1788.1,1874.6,4.0031
50,425,0.002007,1959.7,2060,4.2734
50,450,0.002486,2159.6,2284,4.5884
50,500,0.003892,2525.5,2720.1,5.1726
50,550,0.005118,2763.6,3019.5,5.5485
50,600,0.006112,2942,3247.6,5.8178
50,650,0.006966,3093.5,3441.8,6.0342
50,700,0.007727,3230.5,3616.8,6.2189
50,800,0.009076,3479.8,3933.6,6.529
50,900,0.010283,3710.3,4224.4,6.7882
50,1000,0.011411,3930.5,4501.1,7.0146
50,1100,0.012496,4145.7,4770.5,7.2184
50,1200,0.013561,4359.1,5037.2,7.4058
50,1300,0.014616,4572.8,5303.6,7.5808
60,375,0.0015028,1609.4,1699.5,3.7141
60,400,0.0016335,1745.4,1843.4,3.9318
60,425,0.0018165,1892.7,2001.7,4.1626
60,450,0.002085,2053.9,2179,4.4121
60,500,0.002956,2390.6,2567.9,4.9321
60,550,0.003956,2658.8,2896.2,5.3441
60,600,0.004834,2861.1,3151.2,5.6452
60,650,0.005595,3028.8,3364.5,5.8829
60,700,0.006272,3177.2,3553.5,6.0824
60,800,0.007459,3441.5,3889.1,6.4109
60,900,0.008505,3681,4191.5,6.6805
60,1000,0.00948,3906.4,4475.2,6.9127
60,1100,0.010409,4124.1,4748.6,7.1195
60,1200,0.011317,4338.2,5017.2,7.3083
60,1300,0.012215,4551.4,5284.3,7.483
